Date,Adj Close,,
20/04/2007,"6,486.75",,
19/04/2007,"6,440.57",,
18/04/2007,"6,449.36",,
17/04/2007,"6,497.78",,
16/04/2007,"6,516.22",,
13/04/2007,"6,462.43",,
12/04/2007,"6,416.37",,
11/04/2007,"6,413.25",,
10/04/2007,"6,417.77",,
05/04/2007,"6,397.34",,
04/04/2007,"6,364.70",,
03/04/2007,"6,366.11",,
02/04/2007,"6,315.53",,
30/03/2007,"6,308.03",,
29/03/2007,"6,324.18",,
28/03/2007,"6,267.21",,
27/03/2007,"6,292.59",,
26/03/2007,"6,291.94",,
23/03/2007,"6,339.38",,
22/03/2007,"6,318.03",,
21/03/2007,"6,256.77",,
20/03/2007,"6,220.26",,
19/03/2007,"6,189.36",,
16/03/2007,"6,130.60",,
15/03/2007,"6,133.22",,
14/03/2007,"6,000.71",,
13/03/2007,"6,161.15",,
12/03/2007,"6,233.28",,
09/03/2007,"6,245.23",,
08/03/2007,"6,227.69",,
07/03/2007,"6,156.49",,
06/03/2007,"6,138.54",,
05/03/2007,"6,058.65",,
02/03/2007,"6,116.24",,
01/03/2007,"6,116.04",,
28/02/2007,"6,171.47",,
27/02/2007,"6,286.08",,
26/02/2007,"6,434.70",,
23/02/2007,"6,401.49",,
22/02/2007,"6,380.94",,
21/02/2007,"6,357.07",,
20/02/2007,"6,412.33",,
19/02/2007,"6,444.44",,
16/02/2007,"6,419.53",,
15/02/2007,"6,433.32",,
14/02/2007,"6,421.21",,
13/02/2007,"6,381.76",,
12/02/2007,"6,353.46",,
09/02/2007,"6,382.84",,
08/02/2007,"6,346.39",,
07/02/2007,"6,369.47",,
06/02/2007,"6,346.26",,
05/02/2007,"6,317.90",,
02/02/2007,"6,310.92",,
01/02/2007,"6,282.23",,
31/01/2007,"6,203.09",,
30/01/2007,"6,241.96",,
29/01/2007,"6,239.88",,
26/01/2007,"6,228.04",,
25/01/2007,"6,269.26",,
24/01/2007,"6,314.79",,
23/01/2007,"6,227.61",,
22/01/2007,"6,218.43",,
19/01/2007,"6,237.19",,
18/01/2007,"6,210.27",,
17/01/2007,"6,204.46",,
16/01/2007,"6,215.66",,
15/01/2007,"6,263.46",,
12/01/2007,"6,239.01",,
11/01/2007,"6,230.07",,
10/01/2007,"6,160.68",,
09/01/2007,"6,196.14",,
08/01/2007,"6,194.16",,
05/01/2007,"6,220.12",,
04/01/2007,"6,286.96",,
03/01/2007,"6,319.01",,
02/01/2007,"6,310.93",,
29/12/2006,"6,220.81",,
28/12/2006,"6,240.95",,
27/12/2006,"6,245.24",,
22/12/2006,"6,189.97",,
21/12/2006,"6,183.70",,
20/12/2006,"6,198.59",,
19/12/2006,"6,203.95",,
18/12/2006,"6,247.43",,
15/12/2006,"6,260.02",,
14/12/2006,"6,227.96",,
13/12/2006,"6,192.46",,
12/12/2006,"6,156.40",,
11/12/2006,"6,159.77",,
08/12/2006,"6,152.44",,
07/12/2006,"6,131.48",,
06/12/2006,"6,090.35",,
05/12/2006,"6,086.42",,
04/12/2006,"6,050.43",,
01/12/2006,"6,021.54",,
30/11/2006,"6,048.85",,
29/11/2006,"6,084.36",,
28/11/2006,"6,025.91",,
27/11/2006,"6,050.08",,
24/11/2006,"6,122.07",,
23/11/2006,"6,139.99",,
22/11/2006,"6,160.28",,
21/11/2006,"6,202.62",,
20/11/2006,"6,204.52",,
17/11/2006,"6,192.04",,
16/11/2006,"6,254.85",,
15/11/2006,"6,229.79",,
14/11/2006,"6,186.63",,
13/11/2006,"6,194.18",,
10/11/2006,"6,208.41",,
09/11/2006,"6,231.53",,
08/11/2006,"6,238.99",,
07/11/2006,"6,243.96",,
06/11/2006,"6,224.54",,
03/11/2006,"6,148.13",,
02/11/2006,"6,149.28",,
01/11/2006,"6,149.62",,
31/10/2006,"6,129.22",,
30/10/2006,"6,126.79",,
27/10/2006,"6,160.88",,
26/10/2006,"6,184.82",,
25/10/2006,"6,214.55",,
24/10/2006,"6,182.51",,
23/10/2006,"6,166.13",,
20/10/2006,"6,155.19",,
19/10/2006,"6,155.97",,
18/10/2006,"6,150.39",,
17/10/2006,"6,108.62",,
16/10/2006,"6,172.37",,
13/10/2006,"6,157.31",,
12/10/2006,"6,121.28",,
11/10/2006,"6,073.51",,
10/10/2006,"6,072.69",,
09/10/2006,"6,030.88",,
06/10/2006,"6,001.19",,
05/10/2006,"6,004.52",,
04/10/2006,"5,966.50",,
03/10/2006,"5,937.09",,
02/10/2006,"5,957.83",,
29/09/2006,"5,960.81",,
28/09/2006,"5,971.34",,
27/09/2006,"5,930.14",,
26/09/2006,"5,873.55",,
25/09/2006,"5,798.31",,
22/09/2006,"5,822.28",,
21/09/2006,"5,896.73",,
20/09/2006,"5,866.23",,
19/09/2006,"5,831.79",,
18/09/2006,"5,890.25",,
15/09/2006,"5,877.01",,
14/09/2006,"5,877.22",,
13/09/2006,"5,892.15",,
12/09/2006,"5,895.48",,
11/09/2006,"5,850.77",,
08/09/2006,"5,879.27",,
